"REF_DATE","GEO","DGUID","Age group","Sex","Primary types of cancer (ICD-O-3)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","18875","","","","0"
"1998","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","19760","","","","0"
"1999","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","20045","","","","0"
"2000","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","20150","","","","0"
"2001","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","20685","","","","0"
"2002","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","20905","","","","0"
"2003","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","21205","","","","0"
"2004","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","21835","","","","0"
"2005","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","22425","","","","0"
"2006","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","22810","","","","0"
"2007","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","23410","","","","0"
"2008","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","23870","","","","0"
"2009","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","24395","","","","0"
"2010","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","25960","","","","0"
"2011","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","26060","","","","0"
"2012","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","27365","","","","0"
"2013","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","26520","","","","0"
"2014","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","28130","","","","0"
"2015","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","27925","","","","0"
"2016","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","28190","","","","0"
"2017","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","29435","","","","0"
"2018","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","","..","","","0"
"2019","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","","..","","","0"
"2020","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43788259","1.1.1.22.1","","..","","","0"
"1997","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","63.1","","","","1"
"1998","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","65.5","","","","1"
"1999","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","65.9","","","","1"
"2000","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","65.7","","","","1"
"2001","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","66.7","","","","1"
"2002","Canada","2016A000011124","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43788260","1.1.1.22.2","66.7","","","","1"
